ProductID,ProductName,Price
3d91f9aa-aa44-45b6-9595-5173db0b18bd,item,67.52
a5443387-13f1-42b9-829f-255dec68393f,expert,92.76
682309c5-e932-46df-827c-92625368ab5b,behavior,67.41
828b9a04-fee6-42a7-b4fc-d6a6d7951e30,cold,87.04
f7b0b52c-7d29-4ec2-9147-603ea2da29f1,off,10.17
2d102ba4-c13f-4978-90de-094598134b7c,take,53.89
eedd0213-d9be-426c-b08f-565ef9b1052f,official,30.69
90e0104c-7d3c-482e-8d20-4b45bbf89348,friend,55.88
649ebd8c-0efe-42d2-9eac-ec259965bc77,require,22.72
d693b2aa-b814-48e2-b584-6aeef2dcb5e6,when,25.28
0625ded9-4b61-4fbe-9999-53433ee109cb,federal,23.76
68cd97be-2f6a-489e-8716-356308a07c45,watch,26.49
493ba544-aaa2-451d-b31a-cb20dd6710e3,white,7.55
c3f464ba-f4fe-4f27-8eba-344e67c3ac2a,item,13.23
11e43808-a426-446e-a45f-97bc690cc1a6,century,30.0
45514ccd-d9f5-47f0-b0d2-c346be858355,perform,48.47
551a9aaf-e900-41b0-9687-e4b6ce7ca8b8,interesting,31.74
78f337bd-cea2-4dcd-b0b6-30cec5c13bd2,power,72.99
445daa96-084f-478a-98a8-108f29c49800,small,49.74
26ffe359-bb1c-4d14-82f8-07809465f3af,its,48.77
df723073-a391-4e6d-a37c-77c4fec888a6,two,18.54
de62ae67-0ed9-4cf1-82f8-e8faa23315e4,beautiful,89.27
8c43f7db-ecba-45a5-bc8d-202bf1d5cac3,each,18.2
8ba1245d-24de-478c-a94f-813d0e4e3674,decide,9.21
21eb886a-e922-4ff5-b0ec-752e240acdf7,fight,30.73
2253e229-763c-4c83-8cbb-3cd9129d87ff,right,35.78
eaf7f830-121b-433d-8fa4-82e1ece3a4e4,she,13.38
b63ceaee-68e3-4669-a900-edff125e216b,theory,50.63
0df2898c-4135-4a1a-90db-fff902fb60cd,watch,26.95
f90ccb67-029c-411e-bec5-0f2c82c45b39,care,26.01
7ff01678-9582-4cf2-a7e9-bdc2994997ac,raise,16.59
3ac3165e-3afe-42d7-9a1c-2330cfeb1ee0,democratic,93.42
880c04bf-72ef-41d1-a94d-cc24672c2194,mention,31.95
62a74932-a4c4-458a-b894-a36a11c28bf6,painting,25.52
d43809bb-cf8d-49cb-bf9f-6b9ec0ab3d75,some,61.13
4b17678d-7fcb-4d20-b9de-cf6a42bac2fa,several,16.85
09fc7a37-44aa-4057-9384-a44d69274cce,none,17.78
aa84ca9b-996a-4c39-ba6f-6b0f6cdf359a,improve,23.53
c27c1775-d1ba-4e11-b02a-b91242b727d0,family,43.25
82c44cbb-3f9f-4097-8921-6035c3c5f506,open,9.3
2ae1af5a-7ce0-47bc-9255-d3749e491ab6,up,34.13
f2293dea-07bf-4e53-9563-46edc7de9b77,fly,57.6
e8af1fba-605f-4e57-b6e8-5482764e7c0c,wonder,62.46
a8fe1496-4e9a-4ce3-88cb-70d59e4914f9,finish,64.69
dd52efe7-3220-4794-8ee5-2b3e87edfa8c,serious,63.16
f9a47d46-7345-4ab4-aa5a-5fee06f656b6,evening,14.39
e4a95cea-38c5-40ce-89be-a78bdedf0a0f,budget,11.61
9c4cc99b-7a4e-4952-9e06-6b023992b1b9,hot,58.93
af0a0830-cb97-43d9-b23c-b579ee71dd3c,scene,26.05
f8bdb169-5a03-4740-9bc9-06b94df99e4a,stand,81.94
